,dice,sens
0,0.2931814302782045,0.9999636165181007
1,0.437300522688376,0.9999788453808889
2,0.0,0.0
3,0.06197054212449283,0.9997828918801563
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.25460485115339176,0.6183711230281933
11,0.0234486422998406,0.8564862104187947
12,0.5072361651112924,0.9787741847135004
13,0.0,0.0
14,0.0,0.0
15,0.09640730581387569,0.7840043525571273
16,0.2505802052454662,0.9761053922875886
17,0.3114535269987749,0.7148573027420257
18,0.0,0.0
19,0.1568632177812063,0.9126867241742057
20,0.0,0.0
21,0.17078169658649986,0.99993424513414
22,0.24014413752271288,0.9990232716154238
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.01502419361555054,0.9740820734341252
27,0.314618173152277,0.601865652013817
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.2793320212082262,0.9550245476705462
34,0.08134742206235011,0.9141052631578948
35,0.0,0.0
36,0.21311078728175126,0.9999495382752183
37,0.25592265241638396,0.930669302456933
38,0.0,0.0
39,0.28129179972284146,0.9356286825123251
40,0.16164510483511205,0.9137730358874879
41,0.0,0.0
42,0.03704091826825673,0.9996229260935143
43,0.0,0.0
44,0.0,0.0
45,0.2257787856322591,0.9416757608827453
46,0.37944559749533896,0.5664509183526106
47,0.607963590901323,0.9834572463662685
48,0.3561632888632378,0.6362641371762131
49,0.2938403760666292,0.8809697062540691
50,0.17740673431268617,0.9383218743742073
51,0.5599330711311555,0.9253555820421137
52,0.0,0.0
53,0.5602407434509,0.9828463229512668
54,0.1163468560755395,0.28842887813631557
55,0.6962331813887793,0.9271459279886658
56,0.0,0.0
57,0.0,0.0
58,0.3956472450259314,0.8149902982717386
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.07516633698975005,0.7014807502467917
66,0.0,0.0
67,0.32064674629489076,0.8752317086468215
68,0.3533668717098736,0.9971344817364381
69,0.369053520791608,0.9661527280278254
70,0.4711537506579666,0.8214576370971931
71,0.5062983662940671,0.9433841347405524
72,0.0,0.0
73,0.0,0.0
74,0.3556860421268114,0.9501511008778242
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,0.257086129391456,0.8455605937294113
81,0.0,0.0
82,0.5787257414866349,0.9815179825035101
83,0.22620466746137785,0.9680224596001096
84,0.0,0.0
85,0.13474010824934676,0.9956042061713498
86,0.0,0.0
87,0.03858082202164013,0.8417861080485116
88,0.0,0.0
89,0.12915721252084092,0.999902950310559
90,0.4368405801232263,0.6267071940680969
