,T TRANSITIONAL ZONE mean,T TRANSITIONAL ZONE median,T TRANSITIONAL ZONE 25th-tile,T TRANSITIONAL ZONE 75th-tile,T PERIPHERAL ZONE mean,T PERIPHERAL ZONE median,T PERIPHERAL ZONE 25th-tile,T PERIPHERAL ZONE 75th-tile,V TRANSITIONAL ZONE mean,V TRANSITIONAL ZONE median,V TRANSITIONAL ZONE 25th-tile,V TRANSITIONAL ZONE 75th-tile,V PERIPHERAL ZONE mean,V PERIPHERAL ZONE median,V PERIPHERAL ZONE 25th-tile,V PERIPHERAL ZONE 75th-tile
model 1,0.7572822803972744,0.7679307711885976,0.7229605397669189,0.8076740559962037,0.9011608361051244,0.9145201297462316,0.8840817412119332,0.926927497904189,0.7019124648439238,0.7217216075434394,0.6575668538699,0.7670666532217404,0.8897294569078489,0.900157794651166,0.8721275497030726,0.9144363972641621
model 2,0.7995554273667869,0.8148295567622893,0.7710319645289362,0.8430206668936795,0.9129784025438354,0.9197987678174329,0.9007125112609539,0.9326966449425269,0.7165080317973457,0.737924386848024,0.6505250875145857,0.7956769288466128,0.8878907635650458,0.896517955509064,0.8744170787148783,0.9156827357266593
model 3,0.8026585301113108,0.8147420147420148,0.773855180778182,0.8439671232876712,0.9168648391091939,0.9261209366515158,0.9042033362280144,0.9384588700903487,0.7235214337547614,0.7503140115983858,0.6564547143369293,0.7941744059823905,0.8927639745070178,0.903858752620545,0.877961836863074,0.9228957426006578
